name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Galway Girl,÷ (Deluxe),Ed Sheeran,2017-03-03,170826,79,0.0735,0.624,0.876,0.0,0.327,-3.374,0.1,99.943,4
Pompeii,Bad Blood,Bastille,2013-01-01,214147,76,0.0755,0.679,0.715,0.0,0.271,-6.383,0.0407,127.435,4
Perfect Strangers,Blue,Jonas Blue,2018-11-09,196613,77,0.39,0.73,0.861,0.0,0.213,-4.1,0.0451,117.965,4
Hall of Fame (feat. will.i.am),#3 Deluxe Version,The Script,2012-09-10,202533,80,0.0654,0.421,0.873,0.0,0.123,-4.343,0.0564,84.786,4
Titanium (feat. Sia),Nothing but the Beat (Ultimate Edition),David Guetta,2012-12-07,245040,80,0.0679,0.604,0.787,0.15,0.127,-3.674,0.103,126.062,4
Hymn for the Weekend,A Head Full of Dreams,Coldplay,2015-12-04,258266,82,0.211,0.491,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,4
What About Us,Beautiful Trauma,P!nk,2017-10-13,269600,74,0.0281,0.491,0.588,2.01e-06,0.0906,-6.177,0.0506,113.608,4
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Toast to Our Differences (Deluxe Edition),Rudimental,2019-01-25,211760,69,0.188,0.654,0.798,0.0,0.15,-4.084,0.0451,92.207,4
Shotgun,Staying at Tamara's,George Ezra,2018-03-23,201287,78,0.286,0.673,0.735,0.0,0.242,-4.733,0.0457,115.744,4
Be Alright,A Place We Knew,Dean Lewis,2019-03-22,196493,75,0.705,0.551,0.537,0.0,0.0802,-7.595,0.034,126.421,4
Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,171029,78,0.45,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,102.998,4
Summer,Motion,Calvin Harris,2014-10-31,222533,81,0.0211,0.596,0.856,0.0178,0.141,-3.556,0.0346,127.949,4
Girls Like You (feat. Cardi B) - Cardi B Version,Red Pill Blues (Deluxe),Maroon 5,2018-06-15,235545,75,0.568,0.851,0.541,0.0,0.13,-6.825,0.0505,124.959,4
Eastside (with Halsey & Khalid),FRIENDS KEEP SECRETS,benny blanco,2018-12-07,170769,73,0.549,0.632,0.686,0.0,0.2,-7.665,0.243,89.949,4
Mercy,Illuminate (Deluxe),Shawn Mendes,2017-04-20,208733,80,0.125,0.555,0.662,0.0,0.111,-4.952,0.0827,148.128,4
Raise Your Glass,Raise Your Glass,P!nk,2010-10-05,202960,77,0.0048,0.7,0.709,0.0,0.029,-5.006,0.0838,122.019,4
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,2010-05-07,202626,78,0.00627,0.766,0.873,0.0,0.0764,-6.381,0.143,126.988,4
Mama,Mama,Jonas Blue,2017-05-05,184133,1,0.113,0.741,0.79,0.0,0.0542,-4.086,0.0469,104.043,4
Mirrors,The 20/20 Experience (Deluxe Version),Justin Timberlake,2013-03-15,484146,79,0.234,0.574,0.512,0.0,0.0946,-6.664,0.0503,76.899,4
Where Have You Gone (Anywhere),Where Have You Gone (Anywhere),Lucas & Steve,2018-09-28,158602,60,0.00552,0.618,0.767,0.0,0.147,-5.024,0.0489,124.071,4
Rude,Don't Kill the Magic,MAGIC!,2014-06-25,224840,81,0.0422,0.773,0.758,0.0,0.305,-4.993,0.0381,144.033,4
Euphoria,Heal,Loreen,2012-10-19,214133,62,0.079,0.518,0.679,4.85e-05,0.0588,-5.406,0.0355,132.146,4
Something Just Like This,Memories...Do Not Open,The Chainsmokers,2017-04-07,247160,83,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0.0317,103.019,4
Teenage Dream,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,227760,73,0.0132,0.719,0.804,3.02e-06,0.139,-4.581,0.0355,119.999,4
Good Grief,Wild World,Bastille,2016-09-09,206493,67,0.147,0.73,0.758,0.0,0.311,-4.888,0.0653,120.041,4
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,87,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4
You Need To Calm Down,You Need To Calm Down,Taylor Swift,2019-06-14,171386,20,0.00838,0.768,0.678,0.0,0.0596,-5.604,0.0505,85.025,4
Closer,Closer,The Chainsmokers,2016-07-29,244960,85,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,4
Break Free,My Everything (Deluxe),Ariana Grande,2014-08-25,214840,75,0.0064,0.687,0.702,4.35e-05,0.204,-5.324,0.0455,129.956,4
Try,The Truth About Love,P!nk,2012-09-18,247906,77,0.00144,0.674,0.628,0.0,0.0944,-7.079,0.03,103.998,4
Bad Liar,Origins (Deluxe),Imagine Dragons,2018-11-09,260773,80,0.0722,0.383,0.637,0.0,0.368,-6.993,0.0703,177.913,4
Another Love,Long Way Down (Deluxe),Tom Odell,2013-06-24,244360,86,0.695,0.445,0.537,1.65e-05,0.0944,-8.532,0.04,122.769,4
